nodeID,H,T,seizoen,methode
1,-3.136,10,geheel jaar,gewogen gemiddelde
1,-3.154,10,alleen zomer,gewogen gemiddelde
1,-3.152,10,alleen zomer,Gumbel fit
1,-3.128,10,geheel jaar,Gumbel fit
1,-3.108,25,geheel jaar,Gumbel fit
1,-3.092,50,geheel jaar,Gumbel fit
1,-3.077,100,geheel jaar,Gumbel fit
126,-5.614,10,geheel jaar,gewogen gemiddelde
126,-5.687,10,alleen zomer,gewogen gemiddelde
126,-5.69,10,alleen zomer,Gumbel fit
126,-5.595,10,geheel jaar,Gumbel fit
126,-5.548,25,geheel jaar,Gumbel fit
126,-5.512,50,geheel jaar,Gumbel fit
126,-5.476,100,geheel jaar,Gumbel fit
11,-5.663,10,geheel jaar,gewogen gemiddelde
11,-5.699,10,alleen zomer,gewogen gemiddelde
11,-5.71,10,alleen zomer,Gumbel fit
11,-5.636,10,geheel jaar,Gumbel fit
11,-5.582,25,geheel jaar,Gumbel fit
11,-5.541,50,geheel jaar,Gumbel fit
11,-5.501,100,geheel jaar,Gumbel fit
8,-5.677,10,geheel jaar,gewogen gemiddelde
8,-5.713,10,alleen zomer,gewogen gemiddelde
8,-5.726,10,alleen zomer,Gumbel fit
8,-5.648,10,geheel jaar,Gumbel fit
8,-5.592,25,geheel jaar,Gumbel fit
8,-5.55,50,geheel jaar,Gumbel fit
8,-5.508,100,geheel jaar,Gumbel fit
14,-5.678,10,geheel jaar,gewogen gemiddelde
14,-5.714,10,alleen zomer,gewogen gemiddelde
14,-5.727,10,alleen zomer,Gumbel fit
14,-5.649,10,geheel jaar,Gumbel fit
14,-5.593,25,geheel jaar,Gumbel fit
14,-5.551,50,geheel jaar,Gumbel fit
14,-5.509,100,geheel jaar,Gumbel fit
823,-5.618,10,geheel jaar,gewogen gemiddelde
823,-5.651,10,alleen zomer,gewogen gemiddelde
823,-5.676,10,alleen zomer,Gumbel fit
823,-5.582,10,geheel jaar,Gumbel fit
823,-5.514,25,geheel jaar,Gumbel fit
823,-5.463,50,geheel jaar,Gumbel fit
823,-5.412,100,geheel jaar,Gumbel fit
93,-3.14,10,geheel jaar,gewogen gemiddelde
93,-3.157,10,alleen zomer,gewogen gemiddelde
93,-3.156,10,alleen zomer,Gumbel fit
93,-3.129,10,geheel jaar,Gumbel fit
93,-3.108,25,geheel jaar,Gumbel fit
93,-3.092,50,geheel jaar,Gumbel fit
93,-3.076,100,geheel jaar,Gumbel fit
26,-5.678,10,geheel jaar,gewogen gemiddelde
26,-5.714,10,alleen zomer,gewogen gemiddelde
26,-5.727,10,alleen zomer,Gumbel fit
26,-5.648,10,geheel jaar,Gumbel fit
26,-5.593,25,geheel jaar,Gumbel fit
26,-5.551,50,geheel jaar,Gumbel fit
26,-5.509,100,geheel jaar,Gumbel fit
72,-5.446,10,geheel jaar,gewogen gemiddelde
72,-5.446,10,alleen zomer,gewogen gemiddelde
72,-5.446,10,alleen zomer,Gumbel fit
72,-5.446,10,geheel jaar,Gumbel fit
72,-5.446,25,geheel jaar,Gumbel fit
72,-5.446,50,geheel jaar,Gumbel fit
72,-5.446,100,geheel jaar,Gumbel fit
6,-5.672,10,geheel jaar,gewogen gemiddelde
6,-5.707,10,alleen zomer,gewogen gemiddelde
6,-5.72,10,alleen zomer,Gumbel fit
6,-5.644,10,geheel jaar,Gumbel fit
6,-5.589,25,geheel jaar,Gumbel fit
6,-5.548,50,geheel jaar,Gumbel fit
6,-5.507,100,geheel jaar,Gumbel fit
141,-5.613,10,geheel jaar,gewogen gemiddelde
141,-5.684,10,alleen zomer,gewogen gemiddelde
141,-5.688,10,alleen zomer,Gumbel fit
141,-5.594,10,geheel jaar,Gumbel fit
141,-5.547,25,geheel jaar,Gumbel fit
141,-5.511,50,geheel jaar,Gumbel fit
141,-5.475,100,geheel jaar,Gumbel fit
53,-5.345,10,geheel jaar,gewogen gemiddelde
53,-5.345,10,alleen zomer,gewogen gemiddelde
53,-5.345,10,alleen zomer,Gumbel fit
53,-5.345,10,geheel jaar,Gumbel fit
53,-5.345,25,geheel jaar,Gumbel fit
53,-5.345,50,geheel jaar,Gumbel fit
53,-5.345,100,geheel jaar,Gumbel fit
39,-5.693,10,geheel jaar,gewogen gemiddelde
39,-5.73,10,alleen zomer,gewogen gemiddelde
39,-5.743,10,alleen zomer,Gumbel fit
39,-5.662,10,geheel jaar,Gumbel fit
39,-5.604,25,geheel jaar,Gumbel fit
39,-5.561,50,geheel jaar,Gumbel fit
39,-5.518,100,geheel jaar,Gumbel fit
303,-5.646,10,geheel jaar,gewogen gemiddelde
303,-5.699,10,alleen zomer,gewogen gemiddelde
303,-5.712,10,alleen zomer,Gumbel fit
303,-5.624,10,geheel jaar,Gumbel fit
303,-5.568,25,geheel jaar,Gumbel fit
303,-5.525,50,geheel jaar,Gumbel fit
303,-5.482,100,geheel jaar,Gumbel fit
44,-5.379,10,geheel jaar,gewogen gemiddelde
44,-5.379,10,alleen zomer,gewogen gemiddelde
44,-5.379,10,alleen zomer,Gumbel fit
44,-5.379,10,geheel jaar,Gumbel fit
44,-5.379,25,geheel jaar,Gumbel fit
44,-5.379,50,geheel jaar,Gumbel fit
44,-5.379,100,geheel jaar,Gumbel fit
CFBerg_IV_o,-5.678,10,geheel jaar,gewogen gemiddelde
CFBerg_IV_o,-5.714,10,alleen zomer,gewogen gemiddelde
CFBerg_IV_o,-5.726,10,alleen zomer,Gumbel fit
CFBerg_IV_o,-5.648,10,geheel jaar,Gumbel fit
CFBerg_IV_o,-5.593,25,geheel jaar,Gumbel fit
CFBerg_IV_o,-5.551,50,geheel jaar,Gumbel fit
CFBerg_IV_o,-5.508,100,geheel jaar,Gumbel fit
1095,-5.634,10,geheel jaar,gewogen gemiddelde
1095,-5.666,10,alleen zomer,gewogen gemiddelde
1095,-5.675,10,alleen zomer,Gumbel fit
1095,-5.62,10,geheel jaar,Gumbel fit
1095,-5.575,25,geheel jaar,Gumbel fit
1095,-5.541,50,geheel jaar,Gumbel fit
1095,-5.507,100,geheel jaar,Gumbel fit
CFBerg_IV_20,-5.03,10,geheel jaar,gewogen gemiddelde
CFBerg_IV_20,-5.058,10,alleen zomer,gewogen gemiddelde
CFBerg_IV_20,-5.052,10,alleen zomer,Gumbel fit
CFBerg_IV_20,-5.027,10,geheel jaar,Gumbel fit
CFBerg_IV_20,-5.01,25,geheel jaar,Gumbel fit
CFBerg_IV_20,-4.996,50,geheel jaar,Gumbel fit
CFBerg_IV_20,-4.983,100,geheel jaar,Gumbel fit
61,-5.636,10,geheel jaar,gewogen gemiddelde
